capture,cx,cy,cz,nx,ny,nz
P1,4026.92325495355,309.8825282180104,-2513.7000067142108,0.01044129603426044,-0.5541776572784715,-0.8323329282867944
P2,4027.0275407529903,309.9498504539917,-2513.7029546903796,0.016350859222773788,-0.551513807083265,-0.8340054975833195
P3,4026.8123881416363,309.80363928775466,-2513.649347012063,0.012992826967042941,-0.5538684865679319,-0.8325027844003605
P4,4026.8425652475194,309.8515841686012,-2514.1556191679056,0.012454186126895903,-0.5536655505813656,-0.8326459940138727
P5,4026.9094597977737,309.77714032751936,-2513.8915640838054,0.012868724541343652,-0.551202374962987,-0.834272340284539
