capture,cx,cy,cz,nx,ny,nz
P1,4027.2097840889282,309.2996222489619,-2514.4081721639923,0.012348274795150172,-0.5517243321324359,-0.8339351182451793
P2,4027.351093597808,309.59684215681403,-2514.1755162045083,0.01581705055404745,-0.5510661319682872,-0.8343116558632517
P3,4027.03706665324,309.07700152525274,-2514.465435335404,0.015373602750825466,-0.5505753136824887,-0.8346439218624245
P4,4026.7097880211754,309.78887643455755,-2514.184851551642,0.016230284878990628,-0.5522660769306458,-0.8335099028352217
P5,4027.15747364432,309.47651316982876,-2514.2376246069243,0.014142066716756774,-0.5510609661689913,-0.8343451405227197
