capture,cx,cy,cz,nx,ny,nz
P1,4024.0198976254424,400.31502615884807,-2374.0487428066676,-0.025030354402547653,0.5536622217970191,0.8323650794652978
P2,4024.7159466971493,400.3275205803869,-2374.9259986000116,-0.01050776556138531,0.5527194854129472,0.8333011204287163
P3,4023.05493760527,399.9889593387675,-2374.4262495695793,-0.023738115552574546,0.5529491297074756,0.832876798707803
P4,4024.430430289897,401.30735832520566,-2375.1915161822744,-0.012782657492348878,0.5426696556536909,0.8398489438584406
P5,4023.165039493288,400.3762596039985,-2375.2039359479486,-0.02195896205162112,0.5484610674280116,0.8358877086674632
