capture,status,marker_count,inlier_count,rmse_all_px,rmse_inliers_px,point_count,output_file,message
P1,success,14,12,2.5233379094228154,0.8930598903470468,819388,P1_global.ply,
P2,success,14,11,2.1904225542406213,1.0955530007430496,578530,P2_global.ply,
P3,success,16,14,2.780850451265952,0.7998797210656581,834194,P3_global.ply,
P4,success,21,15,2.862263863557083,1.0497340736134253,604112,P4_global.ply,
P5,success,19,15,2.766630061845227,0.7155255074283655,625872,P5_global.ply,
