capture,cx,cy,cz,nx,ny,nz
P1,4023.77003373551,400.14781782694536,-2374.87845095377,-0.015036534157834281,0.5484372450346716,0.8360565117857165
P2,4024.864978391022,400.454845618327,-2375.0986721186387,-0.016526908638405,0.5485088096761146,0.8359814274244075
P3,4022.8721569922254,399.7694689162545,-2375.241796822021,-0.017712507595323702,0.5492394009282064,0.8354773171922208
P4,4024.3718863851027,400.8536582554913,-2375.5463763388893,-0.010089727439534974,0.5459680752842381,0.8377452227083247
P5,4023.0634681106585,400.2249807919573,-2375.5045849914304,-0.017479433206122406,0.5492066764365227,0.8355037378565948
