Label,X,Y,Z
1,3982.740751,606.053343,-2777.486668
2,3967.926857,512.317586,-2378.629057
3,3966.820049,836.590245,-2678.963301
4,3957.971870,612.445368,-2788.461515
5,3973.115332,477.417186,-2370.533719
6,3972.645874,818.430904,-2714.044515
7,4005.003076,618.689157,-2790.257356
8,3978.150547,545.011766,-2422.039697
9,3977.838564,799.858666,-2750.586120
10,4020.327188,646.077351,-2795.389767
11,3938.062099,549.709496,-2400.968330
12,3983.522307,781.465555,-2786.010469
13,3998.694498,657.838814,-2815.500274
14,3996.772165,513.820420,-2404.847210
15,3943.357402,795.997118,-2796.587891
16,3952.042020,651.491593,-2813.560827
17,3931.781273,521.489448,-2372.763375
18,3946.817519,821.382038,-2765.074773
19,3972.805548,669.294298,-2818.108460
20,3929.077092,477.647100,-2358.377191
21,3950.217690,846.418488,-2733.652169
23,4002.822677,474.844831,-2395.922654
24,3978.575193,630.073210,-2809.555086
27,3935.838671,634.886313,-2792.170378
28,3957.929887,328.935308,-2558.952179
29,3944.443600,348.342571,-2597.648064
30,3928.392600,376.731485,-2618.941028
31,3962.871368,396.438249,-2616.798672
32,3990.792206,419.094007,-2599.312239
33,4010.020298,393.294626,-2567.513580
34,3993.669718,357.729746,-2564.836240
35,3975.519010,366.865856,-2596.263138
36,3953.406157,872.263276,-2701.600319
43,3886.297181,877.973151,-2804.467313
44,3790.201831,359.798500,-2255.165100
45,3906.364935,700.665047,-2812.248311
46,4027.261875,404.868657,-2404.454333
47,3867.597283,432.399425,-2534.863424
48,4096.849207,708.925549,-2599.931372
49,3795.449594,702.125794,-2801.361372
50,4022.345226,348.933630,-2493.536569
51,4101.665698,667.263579,-2637.216752
52,4080.464296,360.520313,-2384.270242
53,3744.921675,498.912328,-2398.087985
54,3945.670030,403.079433,-2493.962179
55,3720.091274,399.237930,-2580.873716
56,3842.301585,643.451172,-2486.562978
57,4093.401072,665.881610,-2696.133411
58,4126.779876,365.358570,-2398.596398
59,3849.345942,426.856145,-2609.167126
60,3946.503789,-18.037026,-2479.437493
61,3839.880608,765.761113,-2804.797790
62,3785.309699,900.207106,-2783.319411
63,3614.346531,254.461118,-2464.565862
64,3837.289073,573.904589,-2674.005764
65,3950.274576,777.212151,-2539.063297
66,3922.919471,653.559972,-2744.823964
67,4043.287980,361.240164,-2440.334146
68,3561.889558,60.398165,-2468.869687
69,4197.808325,297.950306,-2511.976704
70,3883.348630,732.935886,-2520.941322
71,3500.381785,42.691809,-2452.710632
72,3886.792743,905.497155,-2760.501757
73,3918.653063,459.690270,-2660.057998
74,3925.729771,718.939370,-2560.415746
76,3966.703821,306.422867,-2490.356398
77,3776.413471,571.250456,-2465.754955
78,4154.743642,300.478848,-2452.693999
79,3760.505682,844.391088,-2706.859935
80,4045.057009,743.454546,-2529.697307
81,4129.731899,305.565434,-2488.805595
82,3837.415294,450.502992,-2420.407369
83,4048.776215,655.277313,-2768.747585
84,4168.887619,250.935997,-2504.376243
85,4159.848303,323.240854,-2377.231964
86,3708.455301,487.722122,-2404.914513
87,3622.124371,345.202589,-2347.994305
88,4046.095199,762.171155,-2575.494613
89,3755.274401,223.121514,-2532.648432
90,3759.219677,176.661139,-2524.714412
91,3452.811478,191.307612,-2271.563473
92,4216.617081,273.017179,-2521.822786
93,3744.274441,261.909736,-2489.098187
94,3825.626722,903.992089,-2729.391633
95,3916.044757,604.248909,-2437.771113
96,3926.176803,710.596275,-2497.707278
97,3820.245422,795.446355,-2572.464314
98,3533.023198,272.733379,-2347.351101
99,3966.949261,671.063375,-2761.295259
100,3436.221764,80.056616,-2390.872215
101,3760.534954,811.635894,-2774.283450
102,3943.892033,736.812505,-2807.826411
103,3887.821228,471.823122,-2374.671199
104,3933.508213,344.993029,-2270.266248
105,4087.685609,309.538577,-2469.670782
106,3863.761445,464.342823,-2473.244014
107,4147.066057,349.835132,-2443.803290
108,4094.633617,357.766990,-2352.755990
109,3968.484168,757.780016,-2541.733078
110,3782.312448,469.113202,-2623.567516
111,3645.929340,325.309637,-2422.184224
112,3999.583567,343.572085,-2314.446291
113,3879.149736,337.088289,-2554.183941
114,3452.399642,128.619242,-2368.916486
115,4056.423601,601.426474,-2749.159330
116,3841.602656,823.999211,-2625.833396
117,3841.521726,374.268163,-2527.974036
118,3724.309172,366.213338,-2581.052911
119,3808.835021,557.257916,-2439.049877
120,3890.064518,585.688304,-2743.374848
121,3828.690787,428.190100,-2518.450189
122,4027.902429,626.591737,-2709.789463
123,3799.353322,867.329054,-2692.761767
124,3974.045648,385.294880,-2367.528048
125,3878.454017,812.021419,-2799.423236
126,3623.038645,182.639493,-2448.785611
127,4153.180407,474.140409,-2218.075866
128,3921.251685,535.166800,-2434.929766
129,3971.934464,825.189426,-2575.796658
130,3815.109925,622.598742,-2757.808298
131,3629.895531,286.140780,-2281.354549
132,3743.191148,357.669653,-2329.655316
133,3830.882903,496.595880,-2615.419152
134,3729.958585,130.726974,-2457.683966
135,3997.872995,257.319104,-2539.902171
136,3655.101902,687.673999,-2936.938628
137,3839.559578,363.274120,-2247.562614
138,3942.728474,852.524707,-2630.863492
139,3960.689625,195.647883,-2596.770278
140,4169.422945,426.856386,-2350.339707
141,3952.471331,585.182246,-2727.630867
142,3819.436323,405.146266,-2294.939812
143,3851.273906,521.510465,-2681.067270
144,3773.839586,232.662452,-2526.081186
145,3783.244044,709.340277,-2712.633114
146,3781.436208,758.846810,-2636.515277
147,3800.664025,549.198687,-2526.581812
148,3801.952246,512.053320,-2583.781047
149,3811.194180,142.171009,-2514.759757
