capture,status,marker_count,inlier_count,rmse_all_px,rmse_inliers_px,point_count,output_file,message
P1,success,8,8,0.7850427194247893,0.7850427194247893,309562,P1_global.ply,
P2,success,8,8,0.6488759780800054,0.6488759780800054,316738,P2_global.ply,
P3,success,8,8,0.43081236365331166,0.43081236365331166,259526,P3_global.ply,
P4,success,8,8,0.4870367067676916,0.4870367067676916,266270,P4_global.ply,
P5,success,8,8,0.7604104909889553,0.7604104909889553,383090,P5_global.ply,
P6,success,8,8,0.5096842354211615,0.5096842354211615,229765,P6_global.ply,
P7,success,8,8,0.4065824166472219,0.4065824166472219,223398,P7_global.ply,
