capture,cx,cy,cz,nx,ny,nz
P1,3919.7749576486194,881.422881032118,-2775.0117257312263,0.997691107331915,0.06627995522562437,-0.014812895939229862
P2,3920.006773404968,881.5404690126322,-2775.4485276112705,0.9983794147366452,0.0544159862584358,-0.0166566704246568
P3,3919.5444601021404,881.1024152529939,-2775.291474309638,0.9984769360399002,0.05275414163156315,-0.01614957389809681
P4,3919.78330370639,881.3502514023744,-2775.3882650993437,0.9983155831433186,0.055370535005628774,-0.017323403430223306
P5,3920.0399632959475,881.2854013546155,-2775.088569728535,0.997913924573318,0.062151820645815974,-0.01746282717914774
P6,3920.4479678474695,881.0054686916679,-2774.7700073105634,0.9978377024133613,0.06356551922099886,-0.016713599510252742
P7,3919.795733876066,880.9231454422448,-2775.0822836427715,0.9980384243619533,0.05957463840548595,-0.019239697397969175
