capture,cx,cy,cz,nx,ny,nz
P1, 3920.66123665,  881.92396122, -2775.24703990, 0.99840021, 0.05538617, -0.01137507
P2, 3920.38921797,  881.77167110, -2775.53638668, 0.99845092, 0.05453199, -0.01104606
P3, 3920.15833478,  881.38505107, -2775.50872799, 0.99849838, 0.05379915, -0.01032661
P4, 3920.27518269,  881.60272459, -2775.53547851, 0.99843738, 0.05475776, -0.01115311
P5, 3920.54709803,  881.57441879, -2775.23945722, 0.99839089, 0.05531124, -0.01250226
P6,	3920.66569831,  881.24176907, -2774.91900571, 0.99828622, 0.05692582, -0.01356757
P7, 3919.99725590,  881.05399247, -2775.13204010, 0.99819276, 0.05777453, -0.01653225
