capture,cx,cy,cz,nx,ny,nz
P1,4025.455568204153,314.7654742439819,-2508.369319855098,0.01414299996938441,-0.554419014358111,-0.8321174989567559
P2,4025.548991149788,314.82476759855797,-2508.3822853879374,0.017764183897991948,-0.550692329315296,-0.83451925813832
P3,4025.3500275407478,314.67249398383973,-2508.3378976082063,0.016620197238298978,-0.5545825773349408,-0.8319626998611744
P4,4025.385684899853,314.6777718775062,-2508.774259993427,0.015509753726160997,-0.5537942209900324,-0.8325091040567647
P5,4025.4401877327427,314.6451162386963,-2508.604070047486,0.014261739634592258,-0.550895083687004,-0.8344526406885439
