capture,cx,cy,cz,nx,ny,nz
P1,4022.1025346469573,404.7004168685092,-2369.3662579030724,-0.027101372909743734,0.5534414581956211,0.8324470361150382
P2,4022.7735642835055,404.8972897887242,-2369.6791635552886,-0.010122406409454146,0.555522652346932,0.8314397871270726
P3,4021.3135391082783,404.34737319833374,-2370.0116331165154,-0.02446263483776817,0.5529393847679741,0.8328623033066201
P4,4022.3963140843707,405.60640865621343,-2370.2387648683393,-0.010154975285363224,0.5427257231248224,0.8398485970313889
P5,4021.3929907917386,404.6697865812078,-2370.4317913815953,-0.020998753630934112,0.5477767063464808,0.836361005983749
