capture,cx,cy,cz,nx,ny,nz
P1, 4025.67161975, 314.34461301, -2508.83075081, 0.01316538, -0.55145373, -0.83410159
P2, 4025.74519548, 314.51129566, -2508.73121341, 0.01461952, -0.55028648, -0.83484793
P3, 4025.58078784, 314.12807404, -2508.90914345, 0.01612838, -0.54975017, -0.83517341
P4, 4025.35733675, 314.62857688, -2508.70456670, 0.01743905, -0.55188113, -0.83374042
P5, 4025.57487668, 314.36536346, -2508.87206455, 0.01290262, -0.55037690, -0.83481662
