capture,status,marker_count,inlier_count,rmse_all_px,rmse_inliers_px,point_count,output_file,message
P1,success,10,10,0.9226046770623552,0.9226046770623552,309562,P1_global.ply,
P2,success,11,10,1.6915724580570066,0.7614342448135232,316738,P2_global.ply,
P3,success,11,10,1.3398298304303378,0.603934799474172,259526,P3_global.ply,
P4,success,11,10,1.4259147559615428,0.6357129119188604,266270,P4_global.ply,
P5,success,10,10,0.9067117724887287,0.9067117724887287,383090,P5_global.ply,
P6,success,10,10,0.7267757922566486,0.7267757922566486,229765,P6_global.ply,
P7,success,9,9,0.5375786013005516,0.5375786013005516,223398,P7_global.ply,
