capture,cx,cy,cz,nx,ny,nz
P1,3922.348922680409,878.1396111636031,-2780.079910493306,0.9984029361849823,0.055381658544029336,-0.011155667354253218
P2,3922.3509608331124,878.1469036563838,-2780.4255233622257,0.9984820030986492,0.05419763357098315,-0.009813562218413367
P3,3922.270114704417,877.8052328090699,-2780.4710628042885,0.9985356206301915,0.05339572925225409,-0.008689673773989975
P4,3922.2940693790338,877.9865932641617,-2780.456108632021,0.9984711106354077,0.05441770610749638,-0.009703323579754793
P5,3922.3109467543054,877.8439683367139,-2780.09011149799,0.9984068712068477,0.05517550151723208,-0.011806081453012467
P6,3922.3921258604732,877.4991177707824,-2779.83052818211,0.9983174369097335,0.05640602526487484,-0.013440813807159158
P7,3922.2091128148327,877.4302836904466,-2780.099784095385,0.9982981863955647,0.055930604827416006,-0.016507528069525712
