capture,cx,cy,cz,nx,ny,nz
P1,3921.9112663818787,877.9195783453796,-2779.934675334516,0.9978390103955227,0.0635234491276227,-0.016795259563768886
P2,3922.2077828284314,878.0369973528641,-2780.423188390639,0.9985931559471618,0.05053748455711447,-0.016052150950162936
P3,3921.80438508076,877.6133523686703,-2780.2969414715735,0.9986949554136204,0.048837716427485335,-0.014942004066905882
P4,3921.9986653638166,877.8458439747699,-2780.3669373972816,0.9985539147727265,0.051118049714904426,-0.01664404654545338
P5,3922.2433548973745,877.7893327533011,-2780.0379806184815,0.9981629624888139,0.05761379335430552,-0.01874436264273792
P6,3922.675172677932,877.495882940972,-2779.620631603946,0.9980699601636103,0.05905320982292855,-0.019211273477273756
P7,3921.8352262558756,877.3734853992058,-2779.9889623377276,0.998296598378393,0.05488598905720695,-0.019784586711423066
