capture,status,marker_count,inlier_count,rmse_all_px,rmse_inliers_px,point_count,output_file,message
P1,success,8,8,0.7912381295541053,0.7912381295541053,309562,P1_global.ply,
P2,success,8,8,0.6729261876165684,0.6729261876165684,316738,P2_global.ply,
P3,success,8,8,0.45425326766962004,0.45425326766962004,259526,P3_global.ply,
P4,success,8,8,0.5043964508272004,0.5043964508272004,266270,P4_global.ply,
P5,success,8,8,0.7853862183463939,0.7853862183463939,383090,P5_global.ply,
P6,success,8,8,0.4320628949199656,0.4320628949199656,229765,P6_global.ply,
P7,success,8,8,0.3508792961784109,0.3508792961784109,223398,P7_global.ply,
